severity,file,line,error_code,error_message,category
CRITICAL,lib/core/router/app_router.dart,23,expected_token,Expected to find comma,Syntax Error - Router
CRITICAL,lib/core/router/app_router.dart,23,missing_identifier,Expected an identifier,Syntax Error - Router
CRITICAL,lib/features/home/screens/home_screen.dart,48,missing_required_argument,The named parameter 'child' is required,Widget Structure
CRITICAL,lib/features/home/screens/home_screen.dart,51,unexpected_token,Unexpected text 'return',Widget Structure
CRITICAL,lib/features/contests/screens/contest_screen.dart,267,undefined_named_parameter,The named parameter 'itemCount' isn't defined,Widget Parameter
CRITICAL,lib/features/contests/screens/contest_screen.dart,268,undefined_named_parameter,The named parameter 'itemBuilder' isn't defined,Widget Parameter
ERROR,lib/features/analysis/data/models/analysis_model.g.dart,9,undefined_class,Undefined class 'ProblemAnalysis',Model Generation
ERROR,lib/features/analysis/data/models/analysis_model.g.dart,10,undefined_function,The function 'ProblemAnalysis' isn't defined,Model Generation
ERROR,lib/features/analysis/data/models/analysis_model.g.dart,29,undefined_class,Undefined class 'AiAnalysisResponse',Model Generation
ERROR,lib/features/analysis/data/models/analysis_model.g.dart,30,undefined_function,The function 'AiAnalysisResponse' isn't defined,Model Generation
ERROR,lib/features/analysis/screens/ai_analysis_screen.dart,81,invocation_of_non_function_expression,The expression doesn't evaluate to a function,Provider Call
ERROR,lib/features/contests/data/models/contest_model.g.dart,9,undefined_class,Undefined class 'Contest',Model Generation
ERROR,lib/features/contests/data/models/contest_model.g.dart,9,undefined_function,The function 'Contest' isn't defined,Model Generation
ERROR,lib/features/contests/screens/all_contests_screen.dart,89,invocation_of_non_function_expression,The expression doesn't evaluate to a function,Provider Call
ERROR,lib/features/contests/screens/all_contests_screen.dart,324,undefined_named_parameter,The named parameter 'data' isn't defined,Widget Parameter
ERROR,lib/features/contests/screens/all_contests_screen.dart,345,invocation_of_non_function_expression,The expression doesn't evaluate to a function,Provider Call
ERROR,lib/features/friends/data/models/friend_model.g.dart,9,undefined_class,Undefined class 'Friend',Model Generation
ERROR,lib/features/friends/data/models/friend_model.g.dart,9,undefined_function,The function 'Friend' isn't defined,Model Generation
ERROR,lib/features/friends/data/models/leaderboard_model.g.dart,9,undefined_class,Undefined class 'LeaderboardEntry',Model Generation
ERROR,lib/features/friends/data/models/leaderboard_model.g.dart,10,undefined_function,The function 'LeaderboardEntry' isn't defined,Model Generation
ERROR,lib/features/friends/screens/comparison_screen.dart,148,invocation_of_non_function_expression,The expression doesn't evaluate to a function,Provider Call
ERROR,lib/features/friends/screens/comparison_screen.dart,245,invocation_of_non_function_expression,The expression doesn't evaluate to a function,Provider Call
ERROR,lib/features/friends/screens/comparison_screen.dart,288,invocation_of_non_function_expression,The expression doesn't evaluate to a function,Provider Call
ERROR,lib/features/friends/screens/friends_screen.dart,177,invocation_of_non_function_expression,The expression doesn't evaluate to a function,Provider Call
ERROR,lib/features/friends/screens/friends_screen.dart,266,invocation_of_non_function_expression,The expression doesn't evaluate to a function,Provider Call
ERROR,lib/features/practice/data/models/problem_model.g.dart,9,undefined_class,Undefined class 'Problem',Model Generation
ERROR,lib/features/practice/data/models/problem_model.g.dart,9,undefined_function,The function 'Problem' isn't defined,Model Generation
ERROR,lib/features/practice/data/models/weak_topic_model.g.dart,9,undefined_class,Undefined class 'WeakTopic',Model Generation
ERROR,lib/features/practice/data/models/weak_topic_model.g.dart,9,undefined_function,The function 'WeakTopic' isn't defined,Model Generation
ERROR,lib/features/practice/screens/weak_topics_screen.dart,68,invocation_of_non_function_expression,The expression doesn't evaluate to a function,Provider Call
ERROR,lib/features/profile/data/models/contest_history_model.g.dart,9,undefined_class,Undefined class 'ContestHistoryItem',Model Generation
ERROR,lib/features/profile/data/models/contest_history_model.g.dart,10,undefined_function,The function 'ContestHistoryItem' isn't defined,Model Generation
ERROR,lib/features/profile/data/models/profile_model.g.dart,9,undefined_class,Undefined class 'UserProfile',Model Generation
ERROR,lib/features/profile/data/models/profile_model.g.dart,9,undefined_function,The function 'UserProfile' isn't defined,Model Generation
ERROR,lib/features/profile/data/models/rating_graph_model.g.dart,9,undefined_class,Undefined class 'RatingPoint',Model Generation
ERROR,lib/features/profile/data/models/rating_graph_model.g.dart,9,undefined_function,The function 'RatingPoint' isn't defined,Model Generation
ERROR,lib/features/profile/data/models/submission_stats_model.g.dart,9,undefined_class,Undefined class 'SubmissionStats',Model Generation
ERROR,lib/features/profile/data/models/submission_stats_model.g.dart,10,undefined_function,The function 'SubmissionStats' isn't defined,Model Generation
ERROR,lib/features/profile/screens/profile_screen.dart,72,invocation_of_non_function_expression,The expression doesn't evaluate to a function,Provider Call
ERROR,lib/features/upsolve/data/models/upsolve_model.g.dart,9,undefined_class,Undefined class 'UpsolveItem',Model Generation
ERROR,lib/features/upsolve/data/models/upsolve_model.g.dart,9,undefined_function,The function 'UpsolveItem' isn't defined,Model Generation
ERROR,lib/features/upsolve/screens/upsolve_screen.dart,141,invocation_of_non_function_expression,The expression doesn't evaluate to a function,Provider Call
ERROR,lib/features/upsolve/screens/upsolve_screen.dart,200,invocation_of_non_function_expression,The expression doesn't evaluate to a function,Provider Call
ERROR,lib/features/upsolve/screens/upsolve_screen.dart,370,invocation_of_non_function_expression,The expression doesn't evaluate to a function,Provider Call
WARNING,lib/core/widgets/progress_bar_widget.dart,4,unused_import,Unused import package:algolens/core/theme/app_colors.dart,Import Issue
WARNING,lib/core/widgets/offline_banner.dart,28,unrelated_type_equality_checks,Type of right operand isn't subtype of left operand,Type Mismatch
WARNING,lib/core/widgets/offline_banner.dart,38,unrelated_type_equality_checks,Type of right operand isn't subtype of left operand,Type Mismatch
WARNING,lib/features/contests/screens/contest_screen.dart,10,unused_import,Unused import section_header.dart,Import Issue
WARNING,lib/features/contests/screens/contest_screen.dart,16,unused_import,Unused import coming_soon_badge.dart,Import Issue
WARNING,lib/features/contests/screens/contest_screen.dart,18,unused_import,Unused import contest_model.dart,Import Issue
WARNING,lib/features/contests/screens/contest_screen.dart,332,duplicate_definition,The name '_buildAllTab' is already defined,Code Organization
WARNING,lib/features/contests/screens/contest_screen.dart,388,duplicate_definition,The name '_buildLiveTab' is already defined,Code Organization
WARNING,lib/features/contests/screens/contest_screen.dart,332,unused_element,The declaration '_buildAllTab' isn't referenced,Code Organization
WARNING,lib/features/contests/screens/contest_screen.dart,388,unused_element,The declaration '_buildLiveTab' isn't referenced,Code Organization
WARNING,lib/features/friends/screens/friends_screen.dart,48,unused_result,The value of 'refresh' should be used,Unused Result
WARNING,lib/features/friends/screens/friends_screen.dart,49,unused_result,The value of 'refresh' should be used,Unused Result
WARNING,lib/features/home/screens/home_screen.dart,54,unused_result,The value of 'refresh' should be used,Unused Result
WARNING,lib/features/home/screens/home_screen.dart,55,unused_result,The value of 'refresh' should be used,Unused Result
WARNING,lib/features/home/providers/home_provider.dart,1,unused_import,Unused import flutter_riverpod/flutter_riverpod.dart,Import Issue
WARNING,lib/features/home/providers/home_provider.dart,2,unused_import,Unused import auth_provider.dart,Import Issue
WARNING,lib/features/home/providers/home_provider.dart,3,unused_import,Unused import profile_provider.dart,Import Issue
WARNING,lib/features/home/providers/home_provider.dart,4,unused_import,Unused import contest_provider.dart,Import Issue
WARNING,lib/features/practice/screens/recommendations_screen.dart,17,unused_import,Unused import problem_model.dart,Import Issue
WARNING,lib/features/profile/screens/profile_screen.dart,47,unused_result,The value of 'refresh' should be used,Unused Result
WARNING,lib/features/profile/screens/profile_screen.dart,48,unused_result,The value of 'refresh' should be used,Unused Result
WARNING,lib/features/profile/screens/profile_screen.dart,49,unused_result,The value of 'refresh' should be used,Unused Result
INFO,lib/core/theme/app_theme.dart,18,deprecated_member_use,background is deprecated use surface instead,API Deprecation
INFO,lib/core/theme/app_theme.dart,23,deprecated_member_use,onBackground is deprecated use onSurface instead,API Deprecation
INFO,lib/core/theme/app_theme.dart,49,prefer_const_constructors,Use const with constructor to improve performance,Style
INFO,lib/core/theme/app_theme.dart,55,prefer_const_constructors,Use const with constructor to improve performance,Style
INFO,lib/core/theme/app_decorations.dart,15,deprecated_member_use,withOpacity is deprecated use withValues() instead,Style Deprecation
INFO,lib/core/theme/app_decorations.dart,16,deprecated_member_use,withOpacity is deprecated use withValues() instead,Style Deprecation
INFO,lib/core/theme/app_decorations.dart,20,deprecated_member_use,withOpacity is deprecated use withValues() instead,Style Deprecation
INFO,lib/core/theme/app_decorations.dart,25,deprecated_member_use,withOpacity is deprecated use withValues() instead,Style Deprecation
INFO,lib/core/theme/app_decorations.dart,41,deprecated_member_use,withOpacity is deprecated use withValues() instead,Style Deprecation
INFO,lib/core/theme/app_decorations.dart,42,deprecated_member_use,withOpacity is deprecated use withValues() instead,Style Deprecation
INFO,lib/core/theme/app_decorations.dart,46,deprecated_member_use,withOpacity is deprecated use withValues() instead,Style Deprecation
INFO,lib/core/theme/app_decorations.dart,51,deprecated_member_use,withOpacity is deprecated use withValues() instead,Style Deprecation
INFO,lib/core/widgets/app_button.dart,88,deprecated_member_use,withOpacity is deprecated use withValues() instead,Style Deprecation
INFO,lib/core/widgets/app_button.dart,89,deprecated_member_use,withOpacity is deprecated use withValues() instead,Style Deprecation
INFO,lib/core/widgets/app_button.dart,93,deprecated_member_use,withOpacity is deprecated use withValues() instead,Style Deprecation
INFO,lib/core/widgets/app_button.dart,134,deprecated_member_use,withOpacity is deprecated use withValues() instead,Style Deprecation
INFO,lib/core/widgets/app_button.dart,135,deprecated_member_use,withOpacity is deprecated use withValues() instead,Style Deprecation
INFO,lib/core/widgets/app_button.dart,139,deprecated_member_use,withOpacity is deprecated use withValues() instead,Style Deprecation
INFO,lib/core/widgets/app_text_field.dart,76,deprecated_member_use,withOpacity is deprecated use withValues() instead,Style Deprecation
INFO,lib/core/widgets/app_text_field.dart,79,deprecated_member_use,withOpacity is deprecated use withValues() instead,Style Deprecation
INFO,lib/core/widgets/app_text_field.dart,80,deprecated_member_use,withOpacity is deprecated use withValues() instead,Style Deprecation
INFO,lib/features/contests/data/models/contest_model.dart,81,unnecessary_brace_in_string_interps,Unnecessary braces in string interpolation,Style
INFO,lib/features/settings/screens/settings_screen.dart,80,use_build_context_synchronously,Don't use BuildContexts across async gaps,Best Practice
